Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
passed,Thu Jan 16 06:50:11 UTC 2025,Thu Jan 16 06:51:54 UTC 2025,102755,FX Main Testing,Real Android device,tests.fx.automated.D00002.CreateSellApplicationOnlineConvertTest,tests.fx.automated.D00002.CreateSellApplicationOnlineConvertTest,createSellApplicationOnlineConvertTest,createSellApplicationOnlineConvertTest,
passed,Thu Jan 16 06:38:07 UTC 2025,Thu Jan 16 06:39:45 UTC 2025,97805,FX Main Testing,Real Android device,tests.fx.automated.D00009.CreateMinMaxSumApplicationOnlineConvertTest,tests.fx.automated.D00009.CreateMinMaxSumApplicationOnlineConvertTest,createMinMaxSumApplicationOnlineConvertTest,createMinMaxSumApplicationOnlineConvertTest,
passed,Thu Jan 16 07:30:07 UTC 2025,Thu Jan 16 07:31:12 UTC 2025,64161,Invest Main Testing,IOS Emulator,tests.invest.automated.A00004.RefillInvestAccountNotEnoughMoney,tests.invest.automated.A00004.RefillInvestAccountNotEnoughMoney,refillInvestAccountNotEnoughMoney,refillInvestAccountNotEnoughMoney,
passed,Thu Jan 16 06:50:27 UTC 2025,Thu Jan 16 06:52:18 UTC 2025,110847,FX Main Testing,IOS Emulator,tests.fx.automated.D00002.CreateSellApplicationOnlineConvertTest,tests.fx.automated.D00002.CreateSellApplicationOnlineConvertTest,createSellApplicationOnlineConvertTest,createSellApplicationOnlineConvertTest,
passed,Thu Jan 16 06:53:43 UTC 2025,Thu Jan 16 06:55:01 UTC 2025,77736,FX Main Testing,Real Android device,tests.fx.automated.D00004.CheckAllCurrencyPairsOnlineConvertTest,tests.fx.automated.D00004.CheckAllCurrencyPairsOnlineConvertTest,checkAllCurrencyPairsOnlineConvertTest,checkAllCurrencyPairsOnlineConvertTest,
passed,Thu Jan 16 06:27:24 UTC 2025,Thu Jan 16 06:29:07 UTC 2025,102662,FX Main Testing,Real Android device,tests.fx.automated.D00015.CreateSellApplicationPersonalExchangeRateTest,tests.fx.automated.D00015.CreateSellApplicationPersonalExchangeRateTest,createSellApplicationPersonalExchangeRateTest,createSellApplicationPersonalExchangeRateTest,
passed,Thu Jan 16 06:58:45 UTC 2025,Thu Jan 16 06:59:32 UTC 2025,47376,FX Non Working Hours Testing,Real Android device,tests.fx.automated.D00018.CheckNonWorkingHoursErrorPersonalExchangeRateTest,tests.fx.automated.D00018.CheckNonWorkingHoursErrorPersonalExchangeRateTest,checkNonWorkingHoursErrorPersonalExchangeRateTest,checkNonWorkingHoursErrorPersonalExchangeRateTest,
broken,Thu Jan 16 08:04:02 UTC 2025,Thu Jan 16 08:04:02 UTC 2025,3,Invest Non Working Hours Testing,IOS Emulator,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,tearDownSuite,tearDownSuite,
passed,Thu Jan 16 07:56:45 UTC 2025,Thu Jan 16 07:57:47 UTC 2025,61975,Invest Main Testing,Real Android device,tests.invest.automated.A00009.SellSharesFromTop,tests.invest.automated.A00009.SellSharesFromTop,sellBuySharesFromTop,sellBuySharesFromTop,
broken,Thu Jan 16 06:23:27 UTC 2025,Thu Jan 16 06:24:49 UTC 2025,82008,FX Main Testing,Real Android device,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,onboardingOnlineConvertTransitionTest,onboardingOnlineConvertTransitionTest,
passed,Thu Jan 16 07:38:58 UTC 2025,Thu Jan 16 07:40:05 UTC 2025,67072,Invest Main Testing,IOS Emulator,tests.invest.automated.A00024.DownloadTaxReportWithoutDeals,tests.invest.automated.A00024.DownloadTaxReportWithoutDeals,downloadTaxReportWithoutDeals,downloadTaxReportWithoutDeals,
broken,Thu Jan 16 07:17:36 UTC 2025,Thu Jan 16 07:19:34 UTC 2025,117966,Invest Main Testing,IOS Emulator,tests.invest.automated.A00020.BuySharesPriceHigherThanMarket,tests.invest.automated.A00020.BuySharesPriceHigherThanMarket,buySharesPriceHigherThanMarket,buySharesPriceHigherThanMarket,
passed,Thu Jan 16 06:36:55 UTC 2025,Thu Jan 16 06:38:17 UTC 2025,81817,FX Main Testing,IOS Emulator,tests.fx.automated.D00007.CheckRefreshRateOnlineConvertTest,tests.fx.automated.D00007.CheckRefreshRateOnlineConvertTest,checkRefreshRateOnlineConvertTest,checkRefreshRateOnlineConvertTest,
passed,Thu Jan 16 08:37:41 UTC 2025,Thu Jan 16 08:38:30 UTC 2025,49294,FX Main Testing,IOS Emulator,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,onboardingPersonalExchangeRateTransitionTest,onboardingPersonalExchangeRateTransitionTest,
passed,Thu Jan 16 07:54:01 UTC 2025,Thu Jan 16 07:55:16 UTC 2025,74479,Invest Main Testing,IOS Emulator,tests.invest.automated.A00009.SellSharesFromTop,tests.invest.automated.A00009.SellSharesFromTop,sellBuySharesFromTop,sellBuySharesFromTop,
passed,Thu Jan 16 07:35:39 UTC 2025,Thu Jan 16 07:37:23 UTC 2025,104182,Invest Main Testing,IOS Emulator,tests.invest.automated.A00022.BuySharesInvalidOTP,tests.invest.automated.A00022.BuySharesInvalidOTP,buySharesInvalidOTP,buySharesInvalidOTP,
passed,Thu Jan 16 07:29:47 UTC 2025,Thu Jan 16 07:31:11 UTC 2025,83802,Invest Main Testing,Real Android device,tests.invest.automated.A00005.WithdrawAccountTenge,tests.invest.automated.A00005.WithdrawAccountTenge,withdrawAccountTenge,withdrawAccountTenge,
passed,Thu Jan 16 07:46:46 UTC 2025,Thu Jan 16 07:48:10 UTC 2025,83408,Invest Main Testing,IOS Emulator,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,withdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,
passed,Thu Jan 16 07:25:56 UTC 2025,Thu Jan 16 07:26:56 UTC 2025,60176,Invest Main Testing,IOS Emulator,tests.invest.automated.A00016.OpenBrokerageAccountCitizenshipReject,tests.invest.automated.A00016.OpenBrokerageAccountCitizenshipReject,openBrokerageAccountCitizenshipReject,openBrokerageAccountCitizenshipReject,
passed,Thu Jan 16 07:01:39 UTC 2025,Thu Jan 16 07:02:29 UTC 2025,50656,FX Disabled Testing,Real Android device,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,checkDisabledErrorOnlineConvertTest,checkDisabledErrorOnlineConvertTest,
passed,Thu Jan 16 07:31:33 UTC 2025,Thu Jan 16 07:32:45 UTC 2025,72160,Invest Main Testing,Real Android device,tests.invest.automated.A00004.RefillInvestAccountNotEnoughMoney,tests.invest.automated.A00004.RefillInvestAccountNotEnoughMoney,refillInvestAccountNotEnoughMoney,refillInvestAccountNotEnoughMoney,
passed,Thu Jan 16 07:28:32 UTC 2025,Thu Jan 16 07:29:56 UTC 2025,83594,Invest Main Testing,IOS Emulator,tests.invest.automated.A00005.WithdrawAccountTenge,tests.invest.automated.A00005.WithdrawAccountTenge,withdrawAccountTenge,withdrawAccountTenge,
passed,Thu Jan 16 07:15:57 UTC 2025,Thu Jan 16 07:17:24 UTC 2025,87320,Invest Main Testing,IOS Emulator,tests.invest.automated.A00021.BuySharesPriceLowerThanMarket,tests.invest.automated.A00021.BuySharesPriceLowerThanMarket,buySharesPriceLowerThanMarket,buySharesPriceLowerThanMarket,
passed,Thu Jan 16 08:01:08 UTC 2025,Thu Jan 16 08:02:25 UTC 2025,77588,Invest Non Working Hours Testing,IOS Emulator,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,
passed,Thu Jan 16 07:42:14 UTC 2025,Thu Jan 16 07:43:37 UTC 2025,82578,Invest Main Testing,IOS Emulator,tests.invest.automated.A00015.OpenBrokerageAccount,tests.invest.automated.A00015.OpenBrokerageAccount,openBrokerageAccount,openBrokerageAccount,
passed,Thu Jan 16 07:48:22 UTC 2025,Thu Jan 16 07:50:41 UTC 2025,139233,Invest Main Testing,IOS Emulator,tests.invest.automated.A00001.ShareHistoryApplication,tests.invest.automated.A00001.ShareHistoryApplication,shareHistoryApplication,shareHistoryApplication,
passed,Thu Jan 16 07:49:45 UTC 2025,Thu Jan 16 07:51:01 UTC 2025,75414,Invest Main Testing,Real Android device,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,withdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,
passed,Thu Jan 16 06:34:39 UTC 2025,Thu Jan 16 06:36:02 UTC 2025,83054,FX Main Testing,Real Android device,tests.fx.automated.D00006.OnlineConvertFilterTest,tests.fx.automated.D00006.OnlineConvertFilterTest,onlineConvertFilterTest,onlineConvertFilterTest,
passed,Thu Jan 16 06:42:39 UTC 2025,Thu Jan 16 06:44:33 UTC 2025,114464,FX Main Testing,IOS Emulator,tests.fx.automated.D00021.DeclineGetPersonalExchangeRateTest,tests.fx.automated.D00021.DeclineGetPersonalExchangeRateTest,declineGetPersonalExchangeRateTest,declineGetPersonalExchangeRateTest,
passed,Thu Jan 16 07:51:29 UTC 2025,Thu Jan 16 07:52:49 UTC 2025,80115,Invest Main Testing,Real Android device,tests.invest.automated.A00001.ShareHistoryApplication,tests.invest.automated.A00001.ShareHistoryApplication,shareHistoryApplication,shareHistoryApplication,
passed,Thu Jan 16 07:43:48 UTC 2025,Thu Jan 16 07:45:01 UTC 2025,72916,Invest Main Testing,IOS Emulator,tests.invest.automated.A00012.SellZeroShares,tests.invest.automated.A00012.SellZeroShares,sellZeroShares,sellZeroShares,
passed,Thu Jan 16 06:35:10 UTC 2025,Thu Jan 16 06:36:45 UTC 2025,94544,FX Main Testing,IOS Emulator,tests.fx.automated.D00006.OnlineConvertFilterTest,tests.fx.automated.D00006.OnlineConvertFilterTest,onlineConvertFilterTest,onlineConvertFilterTest,
passed,Thu Jan 16 07:09:09 UTC 2025,Thu Jan 16 07:10:28 UTC 2025,79158,Invest Main Testing,Real Android device,tests.invest.automated.A00017.BuySharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00017.BuySharesFromPortfolioDuringWorkingHours,buySharesFromPortfolioDuringWorkingHours,buySharesFromPortfolioDuringWorkingHours,
passed,Thu Jan 16 06:31:11 UTC 2025,Thu Jan 16 06:33:13 UTC 2025,122032,FX Main Testing,IOS Emulator,tests.fx.automated.D00008.CreateApplicationOnlineConvertEmptyInputsTest,tests.fx.automated.D00008.CreateApplicationOnlineConvertEmptyInputsTest,createApplicationOnlineConvertEmptyInputsTest,createApplicationOnlineConvertEmptyInputsTest,
passed,Thu Jan 16 08:24:52 UTC 2025,Thu Jan 16 08:26:19 UTC 2025,86948,FX Main Testing,IOS Emulator,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,createBuyApplicationOnlineConvertTest,createBuyApplicationOnlineConvertTest,
passed,Thu Jan 16 07:55:28 UTC 2025,Thu Jan 16 07:56:31 UTC 2025,63090,Invest Main Testing,IOS Emulator,tests.invest.automated.A00031.EnterToInvestFromMainScreen,tests.invest.automated.A00031.EnterToInvestFromMainScreen,enterToInvestFromMainScreen,enterToInvestFromMainScreen,
passed,Thu Jan 16 07:24:03 UTC 2025,Thu Jan 16 07:25:10 UTC 2025,66808,Invest Main Testing,Real Android device,tests.invest.automated.A00011.SellNotEnoughShares,tests.invest.automated.A00011.SellNotEnoughShares,sellNotEnoughShares,sellNotEnoughShares,
